,code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
30,ERGP27223837,"RENOVATION OF SECURITY QUARTERS, STATE HOUSE AUDITORIUM, GYMNASIUM AND PRESIDENTIAL AIDES'S QUARTERS ALONG IBRAHIM TAIWO STREET, ASOKORO ABUJA ( 8",ONGOING,34329014.0,111001002,STATE HOUSE OPERATIONS - PRESIDENT,
31,ERGP27223843,"RENOVATION OF PRESCORT BARRACKS AT MPAPE STATE HOUSE OFFICERS MESS BUILDING AND SIGNAL OFFICE ASOKORO, ABUJA",ONGOING,35801950.0,111001002,STATE HOUSE OPERATIONS - PRESIDENT,
32,ERGP7223787,"PROCUREMENT OF OPERATIONAL VEHICLES AT THE PRESIDENTIAL CONFERENCE CAR UNIT (CCU) FLEET, ABUJA",ONGOING,89504875.0,111001002,STATE HOUSE OPERATIONS - PRESIDENT,
33,ERGP7223791,MONITORING AND EVALUTION OF PROJECTS AND DEVELOPMENT AT THE LOCAL GOVERNMENT LEVEL AND MANAGEMENT OF ALL FORMS OF INTERVENTION AT EACH,ONGOING,134257312.0,111001002,STATE HOUSE OPERATIONS - PRESIDENT,
34,ERGP7223831,"PROCUREMENT OF SUVS FOR MR. PRESIDENT AND VICE PRESIDENT
",ONGOING,89504875.0,111001002,STATE HOUSE OPERATIONS - PRESIDENT,
35,ERGP7223850,"PURCHASE OF MEDIA EQUIPMENT FOR THE PRESIDENTIAL MEDIA AND PUBLICITY UNIT.
",ONGOING,778692.0,111001002,STATE HOUSE OPERATIONS - PRESIDENT,
36,ERGP7223856,"PRESIDENTIAL DIGITAL MEDIA ARCHIVE SET UP
",ONGOING,895049.0,111001002,STATE HOUSE OPERATIONS - PRESIDENT,
37,ERGP27195096,NATIONAL CENTRE FOR THE COORDINATION OF EARLY WARNING AND RESPONSE MECHANISM,ONGOING,79833217.0,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
38,ERGP27201258,"RENOVATION OF VICE PRESIDENT QUARTERS AT STATE HOUSE, PRESIDENTIAL VILLA ABUJA",ONGOING,326802645.0,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
39,ERGP27223823,"RENOVATION OF VICE PRESIDENT GUESTS HOUSE4 ASOKORO, ABUJA",ONGOING,208873576.0,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
40,ERGP29223819,"PURCHASE OF PRINTERS, PHOTOCOPIES AND MEDIA EQUIPMENT",ONGOING,25875767.0,111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
41,ERGP23223736,DEVELOPMENT OF ARCHIVING SYSTEM,ONGOING,85155000.0,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
