code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
ERGP7201299,PURCHASE OF STATE HOUSE OPERATIONAL VEHICLES,ONGOING,"2,563,096,286",111001001,STATE HOUSE - HQTRS,
ERGP7201300,REPLACEMENT OF SUV VEHICLES,ONGOING,"768,928,886",111001001,STATE HOUSE - HQTRS,
ERGP27202188,MAINTENANCE OF BUILDING/CIVIL INFRASTRUCTURES/MECHANICAL/ELECTRICAL FITTINGS/CLEANING/HORTICULTURAL SERVICES,ONGOING,"1,430,518",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP27223783,PROVISION OF ACCOMMODATION AND CO-LOCATED GUEST HOUSES/FURNISHING FOR PRESIDENTIAL CLOSE AIDES/GUEST AT THE SPECIAL DEVELOPMENT LAYOUT,ONGOING,"384,870,961",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP27223837,"RENOVATION OF SECURITY QUARTERS, STATE HOUSE AUDITORIUM, GYMNASIUM AND PRESIDENTIAL AIDES'S QUARTERS ALONG IBRAHIM TAIWO STREET, ASOKORO ABUJA ( 8",ONGOING,"34,329,014",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP27223843,"RENOVATION OF PRESCORT BARRACKS AT MPAPE STATE HOUSE OFFICERS MESS BUILDING AND SIGNAL OFFICE ASOKORO, ABUJA",ONGOING,"35,801,950",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP7223787,"PROCUREMENT OF OPERATIONAL VEHICLES AT THE PRESIDENTIAL CONFERENCE CAR UNIT (CCU) FLEET, ABUJA",ONGOING,"89,504,875",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP7223791,MONITORING AND EVALUTION OF PROJECTS AND DEVELOPMENT AT THE LOCAL GOVERNMENT LEVEL AND MANAGEMENT OF ALL FORMS OF INTERVENTION AT EACH,ONGOING,"134,257,312",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP7223831,"PROCUREMENT OF SUVS FOR MR. PRESIDENT AND VICE PRESIDENT
",ONGOING,"89,504,875",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP7223850,"PURCHASE OF MEDIA EQUIPMENT FOR THE PRESIDENTIAL MEDIA AND PUBLICITY UNIT.
",ONGOING,"778,692",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP7223856,"PRESIDENTIAL DIGITAL MEDIA ARCHIVE SET UP
",ONGOING,"895,049",111001002,STATE HOUSE OPERATIONS - PRESIDENT,
ERGP27195096,NATIONAL CENTRE FOR THE COORDINATION OF EARLY WARNING AND RESPONSE MECHANISM,ONGOING,"79,833,217",111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
ERGP27201258,"RENOVATION OF VICE PRESIDENT QUARTERS AT STATE HOUSE, PRESIDENTIAL VILLA ABUJA",ONGOING,"326,802,645",111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
ERGP27223823,"RENOVATION OF VICE PRESIDENT GUESTS HOUSE4 ASOKORO, ABUJA",ONGOING,"208,873,576",111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
ERGP29223819,"PURCHASE OF PRINTERS, PHOTOCOPIES AND MEDIA EQUIPMENT",ONGOING,"25,875,767",111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,
ERGP23223736,DEVELOPMENT OF ARCHIVING SYSTEM,ONGOING,"85,155,000",111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
ERGP7103864,PURCHASE OF SHREDDING MACHINES,ONGOING,"2,800,000",111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
ERGP7201346,PURCHASE OF MOTOR VEHICLES,ONGOING,"199,500,000",111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
ERGP7223722,PURCHASE OF 2 NOS PHOTOCOPYING MACHINES (XEROX WORK CENTRE C7025 OR C7030) AND 4 NOS PRINTER PHOTOCOPIERS,ONGOING,"10,500,000",111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
ERGP7223728,ANNUAL RENEWAL/UPGRADE OF COMPUTER SOFTWARE LICENCE,ONGOING,"31,500,000",111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
ERGP7223732,PURCHASE AND SERVICING OF IT EQUIPMENT,ONGOING,"16,150,859",111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
ERGP25223983,ANNUAL ROUTINE MAINTENANCE OF MEDICAL EQUIPMENTS AT SHMC AND VIP WING OF THE STATE HOUSE CLINIC,ONGOING,"61,574,553",111001006,STATE HOUSE MEDICAL CENTRE,
ERGP25223993,"REMODELING AND UPGRADING OF BUILDINGS AND INFRASTRUCTURE AT THE SHMC
",ONGOING,"9,346,866",111001006,STATE HOUSE MEDICAL CENTRE,
ERGP25224001,"PROCUREMENT OF MEDICAL EQUIPMENTS FOR SHMC AND VIP WING
",ONGOING,"213,418,001",111001006,STATE HOUSE MEDICAL CENTRE,
ERGP27102506,"CONSTRUCTION OF 2 BLOCKS OF 24 UNITS 3 BEDROOM FLATS AT THE SHMC.
",ONGOING,"23,193,515",111001006,STATE HOUSE MEDICAL CENTRE,
ERGP27201361,CONSTRUCTION OF CALL DUTY DOCTORS QUARTERS FOR THE STATE HOUSE MEDICAL CENTRE,ONGOING,"6,713,383",111001006,STATE HOUSE MEDICAL CENTRE,
ERGP27201367,"FACILITY MANAGEMENT SERVICES AT STATE HOUSE MEDICAL CENTRE
",ONGOING,"23,587,563",111001006,STATE HOUSE MEDICAL CENTRE,
ERGP27224006,"PROCUREMENT/INSTALLATION OF I NO LIFT AT THE DENTAL WING OF THE SHMC
",ONGOING,"7,983,483",111001006,STATE HOUSE MEDICAL CENTRE,
ERGP27101630,"ROUTINE MAINTENANCE OF STATE HOUSE LAGOS FACILITIES (DODAN BARRACKS, VP RESIDENCE/GUEST HOUSES AT IKOYI, ETC)",ONGOING,"10,305,428",111001007,STATE HOUSE LAGOS LIAISON OFFICE,
ERGP27224014,PROVISION OF FACILITY MANAGEMENT SERVICES AT THE PRESIDENTIAL FACILITIESN LAGOS,ONGOING,"5,004,493",111001007,STATE HOUSE LAGOS LIAISON OFFICE,
ERGP27225311,COMPLETION OF RENOVATION AND FURNISHING OF STATE HOUSE ANNEX (DODAN BARRACKS) LAGOS,ONGOING,"98,072,209",111001007,STATE HOUSE LAGOS LIAISON OFFICE,
ERGP29224020,UPGRADE OF ACCESS CONTROL (LAN) HARDWARE IN STATE HOUSE (ID CARD UNIT),ONGOING,"3,138,311",111001007,STATE HOUSE LAGOS LIAISON OFFICE,
ERGP10201274,"SOLAR POWERED UPS & STREET LIGHTING
",ONGOING,"70,000,000",111006001,"NIPSS, KURU",
ERGP10201277,"REPLACEMENT OF 43 YEAR OLD UNDERGROUND ELECTRICITY CABLES - ABOUT 10KMS
",ONGOING,"35,000,000",111006001,"NIPSS, KURU",
ERGP10225309,"PURCHASE OF GENERATING SET
",ONGOING,"44,800,000",111006001,"NIPSS, KURU",
ERGP12225302,"MAINTENANCE OF ROADS AND DRAINAGES
",ONGOING,"14,000,000",111006001,"NIPSS, KURU",
ERGP23201261,"RENOVATION OF 40 UNITS OF PARTICIPANTS QRTS
",ONGOING,"31,500,000",111006001,"NIPSS, KURU",
ERGP23201267,"REHABILITATION OF RESEARCH FELLOWS QTRS
",ONGOING,"31,500,000",111006001,"NIPSS, KURU",
ERGP23225286,"REHABILITATION OF PARTICIPANTS DINNING HALL
",ONGOING,"14,000,000",111006001,"NIPSS, KURU",
