code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP30208769,DEVELOPMENT OF DIGITAL MOBILE-BASED EXTENSION AND ADVISORY SYSTEM TO SUPPORT FARMERS PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,175699773.0,0.1889,81.11
ERGP30208770,DEVELOPMENT AND IMPLEMENTATION OF THE NATIONAL FARMERS SOIL HEALTH CARD SCHEME TO INCREASE PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,840000000.0,0.302,69.8
ERGP30208774,"FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS ON EXPORT CROPS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1063646136.0,0.2417,75.83
ERGP30208781,"EDUCATION PROMOTION OF HOME GARDEN, HOME ECONOMICS AND NUTRITION KNOWLEDGE TRANSFER AND PRACTICE AT THE STATE AND LOCAL GOVERNMENTS",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,476742384.0,0.2279,77.21
ERGP30208782,DEVELOPMENT AND ESTABLISHMENT OF NATIONAL AGRICULTURAL DATABASE CENTRE FOR PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,222736375.0,0.2464,75.36
ERGP30208785,DEVELOPMENT OF FRAMEWORK AND CONDUCT OF TECHNOLOGY / ICT ENABLED FARMS AND FARMERS ENUMERATION AND MAPPING,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,840000000.0,0.2857,71.43
ERGP30208786,"CAPACITY BUILDING ON PROJECTS MONITORING EVALUATION, ACCOUNTABILITY AND LEARNING FOR EFFICIENCY AND HIGH PERFORMANCE FOR FOOD AND NUTRITION",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,282936375.0,0.2741,72.59
ERGP30208793,DEVELOPMENT OF A NATIONAL AGRICULTURAL MECHANISATION ENTERPRISE DEVELOPMENT SCHEME FOR YOUTH AGRIPRENEURS TOWARDS INCREASED,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.2739,72.61
ERGP30208795,DEVELOPMENT OF ICT TOOLS FOR AGRICULTURE PRODUCTIVITY THROUGH YOUTH HACKATHON FOR CLIMATE SMART TECHNOLOGY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70397523.0,0.1888,81.12
ERGP30208799,DEVELOPMENT AND IMPLEMENTATION OF STRATEGIC COMMUNICATION TO PROMOTE AGRICULTURE AND FOOD SECURITY VALUE CHAINS DEVELOPMENT AND KNOWLEDGE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,505759062.0,0.237,76.3
